SampleName,SampleName,position,Unique ID,ANA plate,Coumaric Acid,Glucose,Trehalose,Tyrosine,Shikimate,FSP_nn,Sample - sampleFunction,Design Id,Colony#,Composition Names,Coumaric Acid_normalization,batch_corrected_Coumaric_acid
PAL_library_Col413,PAL_library_Col413,H08,f30858H08,f30858,0.057,0.0,0.087,,,98.554398,Transformant,PAL library,Col413,,0.29,0.12872507070709896
PAL_library_Col415,PAL_library_Col415,C09,f30858C09,f30858,0.062,0.0,0.085,,,98.800201,Transformant,PAL library,Col415,,0.29,0.14001674357614272
PAL_library_Col416,PAL_library_Col416,D09,f30858D09,f30858,0.139,0.0,0.052,,,100.042999,Transformant,PAL library,Col416,,0.29,0.31390850575941676
PAL_library_Col419,PAL_library_Col419,G09,f30858G09,f30858,0.054,0.0,0.0,,,99.374397,Transformant,PAL library,Col419,,0.29,0.12195006698567268
PAL_library_Col42,PAL_library_Col42,D06,f30859D06,f30859,0.0,0.0,0.079,,,101.505997,Transformant,PAL library,Col42,,0.27675,0.0
PAL_library_Col420,PAL_library_Col420,H09,f30858H09,f30858,0.059,0.0,0.135,,,98.886703,Transformant,PAL library,Col420,,0.29,0.13324173985471643
PAL_library_Col423,PAL_library_Col423,C10,f30858C10,f30858,0.172,0.0,0.0,,,101.050003,Transformant,PAL library,Col423,,0.29,0.38843354669510555
PAL_library_Col425,PAL_library_Col425,E10,f30858E10,f30858,0.061,0.0,0.086,,,98.313797,Transformant,PAL library,Col425,,0.29,0.13775840900233394
PAL_library_Col426,PAL_library_Col426,F10,f30858F10,f30858,0.0,0.0,0.074,,,98.729202,Transformant,PAL library,Col426,,0.29,0.0
PAL_library_Col427,PAL_library_Col427,G10,f30858G10,f30858,0.17,0.0,0.0,,,97.739403,Transformant,PAL library,Col427,,0.29,0.3839168775474881
PAL_library_Col429,PAL_library_Col429,A11,f30858A11,f30858,0.161,0.0,0.0,,,101.169998,Transformant,PAL library,Col429,,0.29,0.3635918663832093
PAL_library_Col43,PAL_library_Col43,E06,f30859E06,f30859,0.052,0.0,0.082,,,101.512001,Transformant,PAL library,Col43,,0.27675,0.12305577370564047
PAL_library_Col430,PAL_library_Col430,B11,f30858B11,f30858,0.181,0.0,0.0,,,100.788002,Transformant,PAL library,Col430,,0.29,0.40875855785938436
PAL_library_Col431,PAL_library_Col431,C11,f30858C11,f30858,0.059,0.0,0.068,,,99.153198,Transformant,PAL library,Col431,,0.29,0.13324173985471643
PAL_library_Col433,PAL_library_Col433,E11,f30858E11,f30858,0.062,0.0,0.102,,,99.008598,Transformant,PAL library,Col433,,0.29,0.14001674357614272
PAL_library_Col434,PAL_library_Col434,F11,f30858F11,f30858,0.059,0.0,0.072,,,97.153099,Transformant,PAL library,Col434,,0.29,0.13324173985471643
PAL_library_Col439,PAL_library_Col439,C12,f30858C12,f30858,0.055,0.0,0.108,,,98.571098,Transformant,PAL library,Col439,,0.29,0.12420840155948143
PAL_library_Col440,PAL_library_Col440,D12,f30858D12,f30858,0.053,0.0,0.077,,,100.875999,Transformant,PAL library,Col440,,0.29,0.11969173241186393
PAL_library_Col47,PAL_library_Col47,A07,f30859A07,f30859,0.155,0.0,0.0,,,97.418098,Transformant,PAL library,Col47,,0.27675,0.36680086393027445
PAL_library_Col48,PAL_library_Col48,B07,f30859B07,f30859,0.054,0.0,0.093,,,103.663002,Transformant,PAL library,Col48,,0.27675,0.12778868807893434
PAL_library_Col49,PAL_library_Col49,C07,f30859C07,f30859,0.0,0.0,0.083,,,101.967003,Transformant,PAL library,Col49,,0.27675,0.0
PAL_library_Col5,PAL_library_Col5,E01,f30859E01,f30859,0.061,0.0,0.088,0.079,0.078,101.956001,Transformant,PAL library,Col5,,0.27675,0.14435388838546284
PAL_library_Col50,PAL_library_Col50,D07,f30859D07,f30859,0.17,0.0,0.0,,,101.031998,Transformant,PAL library,Col50,,0.27675,0.40229772172997846
PAL_library_Col51,PAL_library_Col51,E07,f30859E07,f30859,0.155,0.0,0.0,,,102.262001,Transformant,PAL library,Col51,,0.27675,0.36680086393027445
PAL_library_Col52,PAL_library_Col52,F07,f30859F07,f30859,0.169,0.0,0.0,,,101.847,Transformant,PAL library,Col52,,0.27675,0.3999312645433315
PAL_library_Col53,PAL_library_Col53,G07,f30859G07,f30859,0.0,0.0,0.061,,,103.213997,Transformant,PAL library,Col53,,0.27675,0.0
PAL_library_Col56,PAL_library_Col56,B08,f30859B08,f30859,0.0,0.0,0.068,,,106.741997,Transformant,PAL library,Col56,,0.27675,0.0
PAL_library_Col58,PAL_library_Col58,D08,f30859D08,f30859,0.055,0.0,0.079,,,103.422997,Transformant,PAL library,Col58,,0.27675,0.13015514526558125
PAL_library_Col59,PAL_library_Col59,F08,f30859F08,f30859,0.0,0.0,0.074,,,101.478996,Transformant,PAL library,Col59,,0.27675,0.0
PAL_library_Col6,PAL_library_Col6,F01,f30859F01,f30859,0.1,0.0,0.053,,,102.843002,Transformant,PAL library,Col6,,0.27675,0.2366457186646932
PAL_library_Col60,PAL_library_Col60,G08,f30859G08,f30859,0.058,0.0,0.072,,,99.355202,Transformant,PAL library,Col60,,0.27675,0.13725451682552206
PAL_library_Col63,PAL_library_Col63,C09,f30859C09,f30859,0.0,0.0,0.058,,,100.208,Transformant,PAL library,Col63,,0.27675,0.0
PAL_library_Col65,PAL_library_Col65,E09,f30859E09,f30859,0.069,0.133,0.07,,,101.914001,Transformant,PAL library,Col65,,0.27675,0.16328554587863833
PAL_library_Col68,PAL_library_Col68,H09,f30859H09,f30859,0.051,0.0,0.078,,,100.140999,Transformant,PAL library,Col68,,0.27675,0.12068931651899353
PAL_library_Col69,PAL_library_Col69,A10,f30859A10,f30859,0.109,0.0,0.0,,,98.966103,Transformant,PAL library,Col69,,0.27675,0.2579438333445156
PAL_library_Col70,PAL_library_Col70,B10,f30859B10,f30859,0.163,0.2,0.0,,,101.792,Transformant,PAL library,Col70,,0.27675,0.38573252142344994
PAL_library_Col72,PAL_library_Col72,D10,f30859D10,f30859,0.0,0.0,0.067,,,100.344002,Transformant,PAL library,Col72,,0.27675,0.0
PAL_library_Col74,PAL_library_Col74,F10,f30859F10,f30859,0.175,0.0,0.0,,,101.366997,Transformant,PAL library,Col74,,0.27675,0.41413000766321306
PAL_library_Col75,PAL_library_Col75,G10,f30859G10,f30859,0.05,0.0,0.064,,,101.699997,Transformant,PAL library,Col75,,0.27675,0.1183228593323466
PAL_library_Col76,PAL_library_Col76,H10,f30859H10,f30859,0.142,0.0,0.0,,,100.758003,Transformant,PAL library,Col76,,0.27675,0.3360369205038643
PAL_library_Col77,PAL_library_Col77,A11,f30859A11,f30859,0.0,0.0,0.07,,,101.042999,Transformant,PAL library,Col77,,0.27675,0.0
PAL_library_Col78,PAL_library_Col78,B11,f30859B11,f30859,0.0,0.0,0.079,,,101.499001,Transformant,PAL library,Col78,,0.27675,0.0
PAL_library_Col8,PAL_library_Col8,H01,f30859H01,f30859,0.053,0.0,0.079,,,101.039001,Transformant,PAL library,Col8,,0.27675,0.1254222308922874
PAL_library_Col85,PAL_library_Col85,A12,f30859A12,f30859,0.057,0.0,0.071,,,97.393303,Transformant,PAL library,Col85,,0.27675,0.13488805963887512
PAL_library_Col86,PAL_library_Col86,B12,f30859B12,f30859,0.181,0.0,0.0,,,101.306,Transformant,PAL library,Col86,,0.27675,0.42832875078309474
PAL_library_Col87,PAL_library_Col87,C12,f30859C12,f30859,0.059,0.0,0.052,,,101.357002,Transformant,PAL library,Col87,,0.27675,0.13962097401216897
PAL_library_Col89,PAL_library_Col89,A01,f30860A01,f30860,0.055,0.0,0.052,,,100.063004,Transformant,PAL library,Col89,,0.2655,0.13567019379378384
PAL_library_Col91,PAL_library_Col91,C01,f30860C01,f30860,0.0,0.0,0.069,,,101.741997,Transformant,PAL library,Col91,,0.2655,0.0
PAL_library_Col93,PAL_library_Col93,E01,f30860E01,f30860,0.053,0.0,0.0,,,100.626999,Transformant,PAL library,Col93,,0.2655,0.1307367322012826
PAL_library_Col94,PAL_library_Col94,F01,f30860F01,f30860,0.171,0.0,0.0,,,98.489502,Transformant,PAL library,Col94,,0.2655,0.42181096615885527
PAL_library_Col95,PAL_library_Col95,G01,f30860G01,f30860,0.061,0.0,0.069,,,99.516098,Transformant,PAL library,Col95,,0.2655,0.15047057857128754
PAL_library_Col96,PAL_library_Col96,H01,f30860H01,f30860,0.0,0.0,0.0,,,99.1521,Transformant,PAL library,Col96,,0.2655,0.0
PAL_library_Col98,PAL_library_Col98,C02,f30860C02,f30860,0.177,0.0,0.0,,,100.642998,Transformant,PAL library,Col98,,0.2655,0.43661135093635894
